State,District,health_score,education_score,economic_score,infrastructure_score,social_score,dmi_equal_weights,rank_equal_weights,dmi_poverty_first,rank_poverty_first,dmi_human_development,rank_human_development
ASSAM,Udalguri,,0.197414967488232,0.13244602797252505,0.061503642088478395,0.06181263429068604,,,,,,
Andaman and Nicobar Island,Nicobar,0.6043512513335461,0.6306156170901729,,0.8364193499724373,0.44074120284690005,,,,,,
Andaman and Nicobar Island,North & Middle Andaman,0.5183688575803163,0.5983673513313177,,0.7955630196707423,0.42699426967680737,,,,,,
Andaman and Nicobar Island,South Andaman,0.5961235839176471,0.7793075690876015,,0.9417459509632439,0.4206393111148591,,,,,,
Andhra Pradesh,Anantapur,0.5440611947822571,0.2958613184882831,,0.8391762229966753,0.38785776143386597,,,,,,
Andhra Pradesh,Chittoor,0.5626076988926338,0.3685539591623028,,0.8368438942655215,0.3937612122248476,,,,,,
Andhra Pradesh,East Godavari,0.527902218454722,0.45010221336746387,,0.8058873491527662,0.40884486473523257,,,,,,
Andhra Pradesh,Guntur,0.5932851275696456,0.3023351117626104,,0.8727666136038523,0.45733547739312824,,,,,,
Andhra Pradesh,Krishna,0.5908307410007139,0.4683999754124859,,0.8495333995737477,0.43102012961282105,,,,,,
Andhra Pradesh,Kurnool,0.5106364425068554,0.19646571920438946,,0.7566500332110695,0.390274181094418,,,,,,
Andhra Pradesh,Prakasam,0.5768269199785774,0.2502697904754212,,0.853922568285238,0.400305869288139,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.5581265062294617,0.35703826079165074,,0.8384530880829274,0.3787775785935459,,,,,,
Andhra Pradesh,Srikakulam,0.5703440678100239,0.2566760819459829,,0.7325170911064866,0.40743588688310695,,,,,,
Andhra Pradesh,Visakhapatnam,0.5112673558397944,0.3499536414428343,,0.7794831437353628,0.4076777170120827,,,,,,
Andhra Pradesh,Vizianagaram,0.5377938401927675,0.31765253131472093,,0.7205731380407439,0.3978307272612014,,,,,,
Andhra Pradesh,West Godavari,0.5745629299553309,0.4158395245252398,,0.8455501984774555,0.41546897650442405,,,,,,
Andhra Pradesh,Y.S.R.,0.5685474904775066,0.3020463208342786,,0.8695666384747769,0.3919306644249562,,,,,,
Assam,Baksa,0.45448049143813957,0.33773578106277446,,0.7164676880762065,0.4249904604858655,,,,,,
Assam,Barpeta,0.421515797241487,0.35483055180077683,,0.652912154127892,0.348040894558112,,,,,,
Assam,Biswanath,0.4212896660733435,0.28479183464031566,,0.6311858553487949,0.3984113704270816,,,,,,
Assam,Bongaigaon,0.414793718868802,0.3809823012001598,,0.7662359065342976,0.3611209471676414,,,,,,
Assam,Cachar,0.3984641423254829,0.37510297649023683,,0.41071580065431756,0.3341427631091312,,,,,,
Assam,Charaideo,0.45561059937302545,0.3162026953866808,,0.6923754066415146,0.3821859060490564,,,,,,
Assam,Chirang,0.4224390961298921,0.31638676076575506,,0.7643588130391797,0.40381212933305305,,,,,,
Assam,Darrang,0.38968470934994515,0.3451617838187241,,0.6604143244611203,0.3220638279348201,,,,,,
Assam,Dhemaji,0.46798060757826,0.4421502529781223,,0.6881108900494219,0.4264253923425001,,,,,,
Assam,Dhubri,0.376843573138727,0.28736760181073207,,0.6871927193569658,0.3735145319385106,,,,,,
