State,District,health_score,education_score,economic_score,infrastructure_score,social_score,dmi_equal_weights,rank_equal_weights,dmi_poverty_first,rank_poverty_first,dmi_human_development,rank_human_development
SIKKIM,South District,0.4856051872787274,0.37603954661696154,0.01937007328166805,0.01665010037810107,0.34386941477358207,75.1693135534192,142.0,80.89273333302269,67.0,67.66603513677694,282.0
SIKKIM,West District,0.4856051872787274,0.37603954661696154,0.016507715423678685,0.015860504532565618,0.34386941477358207,75.2423526274897,130.0,81.0190715850253,60.0,67.71686646310214,278.0
Sikkim,East District,0.49853904550973305,0.5465924895688457,0.18346382051426458,0.1267295709033216,0.3838383838383838,65.21673379330903,876.0,69.32595483212516,818.0,57.481951336310644,927.0
Sikkim,North District,0.6221030682156687,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.4270727580372252,64.5075873179785,897.0,68.79409497562726,834.0,57.53797623044746,925.0
Sikkim,South District,0.6173982983935833,0.4422809457579973,0.18346382051426458,0.1267295709033216,0.4457831325301204,63.68688463801426,912.0,68.17856796565408,858.0,56.663057775296885,938.0
Sikkim,West District,0.5641188519396617,0.41724617524339364,0.18346382051426458,0.1267295709033216,0.35355285961871763,67.09777443561282,807.0,70.736735313853,753.0,59.86520673375229,873.0
TAMIL NADU,Ariyalur,0.4856051872787274,0.37603954661696154,0.09635978167775382,0.08409715242097558,0.34386941477358207,72.28057834463999,382.0,76.80143921653615,272.0,65.83671899040691,470.0
TAMIL NADU,Chennai,0.4856051872787274,0.4970840214059494,0.26027019001038015,0.51269222427562,0.3533400556907222,57.82016642677201,964.0,61.858370069819514,945.0,54.808202324670795,953.0
TAMIL NADU,Coimbatore,0.4856051872787274,0.37603954661696154,0.2679015272931083,0.39810364621570293,0.3482450228593286,62.48210139472342,924.0,65.16403786371487,921.0,60.1016498278006,861.0
TAMIL NADU,Cuddalore,0.4856051872787274,0.37603954661696154,0.2960946049491392,0.26392464266238486,0.34390000000000004,64.68872036985573,890.0,66.11417515366333,908.0,61.04226881278995,833.0
TAMIL NADU,Dharmapuri,0.4856051872787274,0.37603954661696154,0.18263521166829233,0.14025235048595605,0.34386941477358207,69.43196578352962,645.0,72.5080940459399,622.0,63.98103555989903,655.0
TAMIL NADU,Dindigul,0.4856051872787274,0.37603954661696154,0.24495679447092308,0.22875711465581805,0.3482450228593286,66.32792668236482,847.0,68.62202515000054,840.0,62.13928613573222,790.0
TAMIL NADU,Erode,0.4856051872787274,0.37603954661696154,0.2738931560266248,0.2611404972430709,0.3482450228593286,65.10153179950574,881.0,66.97881994896369,887.0,61.38140688652416,817.0
TAMIL NADU,Kancheepuram,0.4856051872787274,0.38528369872614954,0.3268077375033634,0.42737024201451823,0.3533400556907222,60.43186157573038,950.0,62.1537027442137,942.0,58.57637022868008,901.0
TAMIL NADU,Kanniyakumari,0.4856051872787274,0.37603954661696154,0.13314604671981312,0.19439115840134052,0.3482450228593286,69.25146076247657,662.0,73.6099444038621,532.0,64.16010691454365,638.0
